,Event Date,CIS #,AE,Definite,Entered By,Entered Date,Customer,Adult Guests, Event Menu, Specialty Menu Items, Sweet Treats, Wedding Cake, Coffee + Tea Service, Soft Beverages, Specialty Soft Beverages, Alcoholic Beverages, Wine Service with Dinner, Champagne Toast, Event Personnel, Equipment - TBD, In House Equipment, In House Linens, In House Tables & Chairs, Equipment Rentals, Equipment Rentals - TBD, Venue to Provide, Florals, Florals - Outside, Decor, Tenting, Lighting, Valet, Credit Card Processing Fee, Service Charge, Venue Fee, Gratuity, Delivery, Suggestions & Options, Our Gift to You!, Total Discount,State, Subtotal,Sales Tax
43,2016-11-23,16261,cb,11/08/16,Bennett,11/08/2016,Porter,10,299.5,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VA, 374.5, 37.45
44,2016-11-23,15945,cb,10/20/16,,10/20/2016,Lacot,10,299.5,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VA, 299.5, 29.95
45,2016-11-23,16392,cb,11/16/16,Salazar,11/16/2016,Johnston,14,419.3,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VA, 469.3, 46.93
46,2016-11-23,15990,cb,10/24/16,Salazar,10/24/2016,Araujo,15,448.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,VA, 448.8, 44.88
47,2016-11-23,15991,cb,10/24/16,Bennett,10/24/2016,Carney,20,599,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,DC, 649, 64.9
48,2016-11-23,16417,cb,11/17/16,Bennett,11/17/2016,Banks,10,299.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,MD, 299.5, 29.95
49,2016-11-23,16216,cb,11/08/16,,11/07/2016,Albrittain,30,898.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,VA, 948.5, 89.85
50,2016-11-23,16453,cb,11/21/16,Thaler,11/21/2016,Bennett,100,108,,405.0,,,300.0,,,,,1679.0,,1296.0,366.0,140.0,,,,,,,200.0,,,153.91,,,,150.0,,,,VA, 108, 10.8
51,2016-12-09,16059,cb,11/21/16,Thaler,10/27/2016,Yorktown Systems Group Inc,90,3248,,405,,,300,,,,,1679,,1296,366,140,,,,,,,200,,,153.91,,,,150,,,,VA, 7937.91, 616.16
52,2016-12-13,16614,cb,12/09/16,,12/07/2016,Hughes Hubbard  & Reed LLP,12,669,,72,,,,,,,,607,,199.56,,26,,,,,,,,,,,,,,150,,,,DC, 1723.56, 172.36
53,2016-12-24,16633,cb,12/07/16,,12/07/2016,Remy,10,359.5,,,,,,,,,,,,,,,,,,,,,,,,11.76,,,,75.0,,,,VA, 359.5, 35.95
54,2016-12-24,16723,cb,12/12/16,Bennett,12/12/2016,Samman,10,359.5,,108.0,,,,,,,,,,,,,,,,,,,,,,11.76,,,,75,,,,MD, 446.26, 35.95
55,2016-12-24,16777,cb,12/15/16,Bennett,12/15/2016,Crawford,18,846.1,,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DC, 954.1, 95.41
56,2016-12-24,16820,cb,12/20/16,Bennett,12/20/2016,Moody,12,515.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VA, 515.4, 51.54
57,2016-12-24,16651,cb,12/08/16,Bennett,12/08/2016,Umberger,10,449.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VA, 449.5, 44.95
58,2016-12-24,16821,cb,12/21/16,Keene,12/20/2016,Kearney,10,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,,VA, 170, 17
59,2016-12-24,16805,cb,12/19/16,,12/19/2016,Smith,10,329.5,,,,,,,,,,,,,,,,,,,,,,,,8.24,,,,40,,,,VA, 369.5, 32.95
60,2016-12-28,16861,cb,12/26/16,,12/26/2016,Kusterbeck,10,329.5,,25.0,,,,,,,,,,,,,,,,,,,,,,8.24,,,,,,,,VA, 337.74, 32.95
61,2016-12-31,16837,cb,12/27/16,,12/21/2016,Crawford,10,469.5,,25,,,,,,,,140.0,,,,,,,,,,,,,,,,,,,,,,DC, 494.5, 49.45
62,2017-01-27,17270,cb,01/25/17,Burford,01/25/2017,Torpedo Factory Art Center - City of Alexandria,1,,,,,,,,,,,140,,,,,,,,,,,,,,,,,,,,,6504.0,VA, 140, 8.4
63,2017-02-14,17088,cb,01/12/17,Burford,01/12/2017,Main Event Caterers,60,1400.0,,,,,,,,,,1085.0,,343.0,,,,,,,,,,,,,,,,150.0,,, 6504,VA,2978.0,297.8
64,2017-03-25,17922,cb,03/20/17,,03/08/2017,White,70,1400,,,,,,,,,,1085,,343,,,,,,,,,,,,,,,,150,,, 463,DC, 2978, 297.8
65,2015-12-17,12129,Courtney,12/9/2015,Porter,11/9/2015,PBS,20.0,520.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,,, 10608.5,VA, 37909.92,  2313.55
66,2015-12-17,12129,Courtney,12/09/15,Porter,11/09/2015,PBS,20,520.3,,,,,93.75,,400.0,,,822.0,,227.5,,,,,,,,,,,,,,,,75,,,,VA, 595.3, 52.03
67,2015-12-18,12451,Courtney,12/10/15,Porter,12/09/2015,Smith,25,700,,,,,93.75,,400,,,822,,227.5,,,,,,,,,,,,,,,,150,,,,VA, 2393.25,68.6
68,2015-12-19,12011,Courtney,12/04/15,Porter,11/02/2015,Carlin,12,686,,,,,50.0,,,,,1216.0,,650.0,40.0,,,,,,,,,,,,,,300.0,75,,,,VA, 761, 68.6
69,2015-12-24,12131,Courtney,11/30/15,Porter,11/09/2015,Love,60,1560,,210.0,,,50,,,,,1216,,650,40,,492.5,,,,,,,,,,,,300,150,,,535.39,VA, 3966, 317.76
70,2016-01-06,12655,Courtney,12/30/15,Porter,12/30/2015,American Diabetes Association,43,1601.75,,210,,,129,,,,,1158,,247.9,,,492.5,,,,,,,,,,,,,150,,, 535.39,VA, 3989.15, 307.98
71,2016-01-09,12711,Courtney,01/07/16,Porter,01/06/2016,Ferguson,50,1431,,144.0,,,90.0,,,,,706.0,,500,,,,,,,,,,,,,,,,150,,,60.0,MD, 2081, 173.1
72,2016-01-11,12592,Courtney,12/30/15,Porter,12/22/2015,McFadden,24,618,,144,,,90,,,,,706,,253.68,,,,,,,,,,,,,,,,150,,, 60,VA, 1961.68, 142.78
73,2016-01-28,12668,Courtney,01/27/16,Porter,01/04/2016,Community Residences  Inc,50,1450,,431.25,,,,,,,,1656.0,,725.56,,,,,,,,,,,,,,,90.0,150.0,,,547.19,VA, 1450, 145
