,Event Date,CIS #,AE,Definite,Entered By,Entered Date,Customer,Adult Guests, Event Menu, Specialty Menu Items, Sweet Treats, Wedding Cake, Coffee + Tea Service, Soft Beverages, Specialty Soft Beverages, Alcoholic Beverages, Wine Service with Dinner, Champagne Toast, Event Personnel, Equipment - TBD, In House Equipment, In House Linens, In House Tables & Chairs, Equipment Rentals, Equipment Rentals - TBD, Venue to Provide, Florals, Florals - Outside, Decor, Tenting, Lighting, Valet, Credit Card Processing Fee, Service Charge, Venue Fee, Gratuity, Delivery, Suggestions & Options, Our Gift to You!, Total Discount,State, Subtotal,Sales Tax
1029,2016-06-14,13006,Spenc,03/01/16,Lacot,02/02/2016,Accelerate Colorado,91,5115,,558,,465,850,,360.0,,,4190,,2364.99,375,,,,,,,,,,,,,,,300,,,,DC, 14217.99, 1421.8
1030,2016-06-14,14417,Spenc,06/09/16,McCormack,06/07/2016,New Venture Fund,15,945,,,,37.5,125,,360,,,1511,,122.6,216.0,,,,,,,,,,,,,,150.0,150,,,,DC, 3251.1,
1031,2016-06-14,14222,Spenc,06/01/16,Lacot,05/20/2016,USGLC,200,2669.25,,480.0,,,750,,2800,,,3052,,1558,216,,,,,,,,,,,,,,150,150,,,,DC, 11345.25,
1032,2016-06-14,14393,Spenc,06/10/16,McCormack,06/06/2016,Meridian House,60,1380,,480,,465.0,180,,720,,,1556,,774,375.0,,,,,,,,,,,,,,1620.0,150,,,,DC, 5240,837.3
1033,2016-06-15,13007,Spenc,03/01/16,Lacot,02/02/2016,Accelerate Colorado,93,2139,,,,465,650,,,,,2544,,1899.99,375,,,,,,,,,,,,,,1620,300,,,,DC, 9992.99, 837.3
1034,2016-06-15,14418,Spenc,06/09/16,Blake,06/07/2016,New Venture Fund,35,1202.5,,270.0,,37.5,175,,,,,1092,,296.8,,,1072.5,,,,,,,,,,,,140.0,150,,,,DC, 2953.8,469.66
1035,2016-06-16,14209,Spenc,05/24/16,McCormack,05/19/2016,Chrysler Group LLC,45,1777.5,,270,,112.5,168.75,,,,,1788,,1085.85,,,1072.5,,,,,,,,,,,,140,150,,,535.0,VA, 6565.1, 469.66
1036,2016-06-18,14111,Spenc,05/23/16,McCormack,05/11/2016,THIS for Diplomats,70,2516.0,,204.0,,,,,,,,420.0,,170.0,,,120.0,,,,,,,,,,,,,,,, 535,VA,3430.0,
1037,2016-06-18,14523,Spenc,06/14/16,McCormack,06/14/2016,L'Enfant Cafe,136,2516,84.0,204,,182.5,292.0,,,,,420,,170,,,120,,,,,,,,,,,,,150.0,,,,DC, 3430,738.6
1038,2016-06-18,11924,Spenc,12/18/15,Lacot,10/27/2015,The One Moment Events,82,3081.83,84,348,360.0,182.5,292,,,,,3535,,1392.75,,,735,,,,,,,,,,,,,150,,,,VA, 9801.08, 738.6
1039,2016-06-18,9223,Spenc,03/03/15,Blake,02/24/2015,Conboy,142,6682.5,,852,360,,852,,,,,4722,,2636.94,,,2906.5,,,,,,,,,,,,,150,,,,MD, 19161.94, 1490.58
1040,2016-06-18,11185,Spenc,09/23/15,Lacot,08/31/2015,Miles,137,4920.75,,48,,,834,,,,,5558,,2482.54,,,2811,,,,,,,,,,,,,150,,,,MD, 16804.29, 1231.37
1041,2016-06-18,14058,Spenc,05/24/16,Lane,05/06/2016,The Event Group International (TEGI),100,2035.0,,165.0,,,,,,,,2082.65,,,,,5930.3,,,,,,,,,,,,,,,,,VA, 8012.95, 480.78
1042,2016-06-19,14524,Spenc,06/14/16,McCormack,06/14/2016,L'Enfant Cafe,110,2035,,165,,,150.0,,,,,420,,340.0,,,,,,,,,,,,,,,,150.0,,,,DC, 2620,195.3
1043,2016-06-20,14563,Spenc,06/17/16,McCormack,06/17/2016,Burton,50,1200,,,450.0,,150,,,,,665,,340,,,,,,,,,,,,,,,,150,,,,MD, 2505, 195.3
1044,2016-06-21,14531,Spenc,06/16/16,McCormack,06/15/2016,Intelsat,75,6080.0,,1872.0,450,,237.5,,640.0,,,518,,430,,,1698.0,,,360.0,,,,,,,,,,150,,,1294.5,VA, 1785.5, 125.63
1045,2016-06-22,14042,Spenc,06/07/16,McCormack,05/05/2016,Intelsat,320,6080,,1872,,,960,,640,,,3104,,1294.5,,,1698,,,360,,,,,,,,,,100,,, 1294.5,VA, 16108.5, 1342.59
1046,2016-06-23,13372,Spenc,04/28/16,Lacot,03/02/2016,NC Central University School of Business and Summer Academy,95,1615,,,,187.5,380,,,,,616,,1786.0,,,,,,,,,,,,,,,,75,,, 75,DC, 2686, 268.6
1047,2016-06-23,13775,Spenc,05/12/16,McCormack,04/11/2016,DC Arts Center,200,1548.0,,324.0,,187.5,200,,480.0,120.0,,2240,,1786,,,801.5,,,,,,,,,,,,,150,,, 1786,DC, 4563.5,
1048,2016-06-23,14391,Spenc,06/20/16,McCormack,06/06/2016,Meridian House,36,1548,,324,,,216,,480,120,,1684,,570.96,,,801.5,,,,,,,,,,,,,150,,, 280,DC, 5894.46,
1049,2016-06-25,14596,Spenc,06/21/16,Lacot,06/21/2016,L'Enfant Cafe,135,2516,,204,,,592.0,,,,,420,,2723.29,,,2112.0,,,,,,,,,,,,,150.0,,,940.07,DC, 3140,1223.28
1050,2016-06-25,11935,Spenc,12/14/15,Blake,10/27/2015,Baran,148,5892,228.0,,,,592,,,,,4746,,2723.29,,,2112,,,,,,,,,,,,800.0,150,,, 940.07,VA, 16215.29, 1223.28
1051,2016-06-25,12987,Spenc,02/18/16,Lacot,02/01/2016,Foster,114,4638.66,228,1203.5,,,684,,,,,3059,,1546.98,,,750,,,,,,,,,,,,800,150,,,499.5,DC, 11856.64, 1105.67
1052,2016-06-25,9931,Spenc,11/17/15,Lacot,04/20/2015,Harr,166,5697,64,1203.5,,,624,,,,,6380,,2786.16,,,3849.5,,,,,,,,,,,,,150,,, 499.5,MD, 20754.16, 1539.79
1053,2016-06-26,14602,Spenc,06/22/16,McCormack,06/22/2016,L'Enfant Cafe,82,1517,,123,,,420.0,,,,,420,,776.7,382.0,,,,,,,,,,,,,,,150.0,,,200.0,DC, 2060,412.98
1054,2016-06-28,14438,Spenc,06/14/16,McCormack,06/08/2016,Wildhack,75,1925,,180.0,,,420,,,,,1816,,776.7,382,,,,,,,,,,,,,,,150,,, 200,VA, 5469.7, 412.98
1055,2016-06-28,14570,Spenc,06/24/16,McCormack,06/17/2016,Meridian House,20,670,,180,,137.5,50,,,,,918,,324.5,260.0,,,,,,,,,,,,,,,150,,, 634.45,DC, 1968,486.75
1056,2016-06-29,13678,Spenc,04/28/16,Lacot,03/31/2016,Retail Industry Leaders Association,55,2040.5,,172.5,,137.5,275,,,,,1680,,324.5,260,,,,,,,,,,,,,,,150,,,,DC, 4867.5, 486.75
1057,2016-07-02,14646,Spenc,06/27/16,McCormack,06/27/2016,L'Enfant Cafe,115,2127.5,,172.5,,155.0,124.0,,,,,420,,600.78,,,1225.2,,,,,,,,,,,586.1,,150.0,,,,DC, 2720,439.62
1058,2016-07-03,13350,Spenc,03/17/16,Blake,03/01/2016,Boles,62,1920,,202.5,,155,124,,,,,1836,,600.78,,,1225.2,,,,,,,,,,,586.1,,150,,,,VA, 6597.08, 439.62
1059,2016-07-03,14634,Spenc,06/27/16,Blake,06/27/2016,L'Enfant Cafe,135,2497.5,,202.5,,,,,,,,420,,286.72,,,1057.04,,,,,,,,,,,377.83,,75.0,,,122.88,DC, 3120,261.91
1060,2016-07-03,10861,Spenc,08/10/15,Blake,07/28/2015,Pan,27,880.5,,,,,,,,,,1554,,286.72,,,1057.04,,,,,,,,,,,377.83,,75,,, 122.88,VA, 4231.09, 261.91
1061,2016-07-04,14532,Spenc,06/15/16,McCormack,06/15/2016,Arlington County Department of Parks and Recreation,20,655,,,,,404.0,,,,,6006.0,,196,,,2045.5,,,,,,,,,,,,510.0,275,,,,VA, 1126,1696.57
1062,2016-07-09,12076,Spenc,12/07/15,Blake,11/05/2015,Wong,101,6396.75,,875.0,,,404,,,,,6006,,1963.44,,,2045.5,,,,,,,,,,,,510,150,,,1447.98,DC, 17475.69, 1696.57
1063,2016-07-09,12254,Spenc,02/12/16,Lacot,11/17/2015,The Event Group International (TEGI),125,6975,,875,65.0,103.0,468.75,,,,,5601.5,,1387.02,,,1856.25,,,,,,,,,,,935.48,,125,,, 1447.98,VA, 17288.52, 1362.57
1064,2016-07-09,12273,Spenc,02/08/16,Blake,11/19/2015,Thornblad,103,3502,,618,65,103,180.25,,,,,2496,,663.32,,,1727,,,,,,,,,,,935.48,,150,,,,VA, 10440.05, 740.01
1065,2016-07-10,14635,Spenc,06/27/16,McCormack,06/27/2016,L'Enfant Cafe,110,2035,,165,,100.0,150.0,,,,,420,,965.2,,,1119.0,,,,,,,,,,,,,150.0,,,,DC, 2620,429.01
1066,2016-07-12,14685,Spenc,06/30/16,McCormack,06/28/2016,Hyundai,40,1340,,240,,100,150,487.5,1312.0,,,2016,,965.2,180.0,,1119,,,,,,,,,,,,,150,,,400.0,VA, 6080.2, 429.01
1067,2016-07-12,13970,Spenc,04/27/16,McCormack,04/27/2016,Chaplain Alliance for Religious Liberty,150,2400,,600,,,120.0,487.5,1312,,,2954,,1002.2,180,,425,,,,,,,,,,,,,150,,, 400,DC, 9510.7, 951.07
1068,2016-07-14,14669,Spenc,06/29/16,McCormack,06/27/2016,Craft,40,720,,960.0,,,120,,,,,476,,100,,,658.0,,,,,,,,,,,,,150,,,925.8,DC, 1566, 156.6
1069,2016-07-14,14370,Spenc,06/13/16,Lacot,06/03/2016,Arianespace  Inc,120,4107,1040.0,960,,,480,,,,,2886,,925.8,,,658,,,,,,,,,,,,,150,,, 925.8,DC, 10166.8, 1016.68
1070,2016-07-15,13718,Spenc,06/01/16,Blake,04/05/2016,Siegel,130,4717,1040,120.0,,,650,,,,,5534,,2150.2,,,4185,,,,,,,,,,,,,150,,, 230,MD, 18426.2, 1352.85
1071,2016-07-16,14648,Spenc,06/30/16,Blake,06/27/2016,L'Enfant Cafe,120,2640,,120,65.0,,846.0,,,,,420,,3402.33,,,1315.0,,,,,,,,,,,,,150.0,,,,DC, 3180,1751.83
1072,2016-07-16,11243,Spenc,11/09/15,Blake,09/04/2015,Renzi,141,5640,32.0,750,65,,846,,,,,5350,,3402.33,395.0,,1315,,,,,,,,,,,,,150,,,886.0,DC, 17518.33, 1751.83
1073,2016-07-16,12792,Spenc,03/07/16,Lacot,01/12/2016,Vorisek,105,4488.75,32,,32,200.0,487.5,,,,,3021,,19.3,395,,3130.5,,,1230.0,,,,,,,,,,150,,, 886,DC, 8138.05, 813.81
1074,2016-07-16,14643,Spenc,06/30/16,Lacot,06/27/2016,George,110,6138.6,328.0,687.5,750.0,200,487.5,,,,,4362,,2414.1,,,3130.5,,,1230,,,,,,,,,500.0,150,,,730.98,MD, 18112.7, 1350.81
1075,2016-07-16,12864,Spenc,04/01/16,Blake,01/20/2016,Franca,125,8637.25,328,687.5,750,250,500,,4143.0,390.0,,6950,,2417.77,650.0,,581,,,,,,,,,,,,500,150,,, 730.98,VA, 21751.52, 1712.21
1076,2016-07-16,10842,Spenc,12/08/15,Lacot,07/27/2015,Felner,120,4439.75,176,1430,,,480,,4143,390,,5197,,2321.8,650,,1964.5,,,,,,,,,,,,,150,,, 325,VA, 21342.05, 1713.88
1077,2016-07-16,11765,Spenc,11/09/15,Lacot,10/15/2015,Alikonis,75,2672,118,480,,,320,,,,,3324,,1117.8,,,3063.5,,,,,,,,,,,,,150,,, 1132.6,MD, 11245.3, 809.32
1078,2016-07-16,13936,Spenc,05/17/16,Lacot,04/25/2016,Dow,97,3193.5,168.0,746.9,,,388,,,,,4466,,1578.6,,,2456,,,,,,,,,,,,500.0,150,,, 526.2,DC, 12979, 1297.9
1079,2016-07-16,11034,Spenc,09/28/15,Blake,08/14/2015,Roussos,125,4533.5,168,834,,,834,,,,,5952,,1598.64,,,2028,,,,,,,,,,,,500,150,,, 685.13,VA, 16598.14, 1211.67
1080,2016-07-17,14636,Spenc,06/30/16,Blake,06/27/2016,L'Enfant Cafe,130,2860,,130,,,300.0,,750.0,,,420,,607.5,,,,,,,,,,,,,,,,150.0,,,200.0,DC, 3410,500.85
1081,2016-07-19,14614,Spenc,06/30/16,Lacot,06/22/2016,King's College London,75,1575,,300,,,300,,750,,,1326,,607.5,,,,,,,,,,,,,,,,150,,, 200,DC, 5008.5, 500.85
1082,2016-07-22,12515,Spenc,01/19/16,Lacot,12/15/2015,The Event Group International (TEGI),56,1923,,399,,,171,,1260.0,,,2688,,904.87,,,409.0,,,490.0,,,7650.0,,,,,,315.0,150.0,,, 1354.88,VA, 6085.87, 464.87
1083,2016-07-22,14684,Spenc,07/13/16,McCormack,06/28/2016,Williams & Connolly,70,2380,,490,,,385,,1260,,,2540,,949.9,,,409,,,490,,,7650,,,,,,315,150,,,,MD, 17018.9, 1173.83
1084,2016-07-23,14649,Spenc,07/06/16,McCormack,06/27/2016,L'Enfant Cafe,125,2970,,135,,,744.0,,,,,420,,1637.4,,,2698.0,,,,,,,,,,,,360.0,150.0,,,980.0,DC, 3525,1118.49
1085,2016-07-23,11004,Spenc,10/16/15,Lacot,08/12/2015,Hartman,124,5144.5,,128.0,,,744,,,,,4492,,1637.4,,,2698,,,,,,,,,,,,360,150,,, 980,MD, 15225.9, 1118.49
1086,2016-07-23,11427,Spenc,11/16/15,Lacot,09/18/2015,The Event Group International (TEGI),128,5757,,128,,,472.5,,,,,5738,,1512.14,,,672,,,,,,,,,,840.0,,,150,,, 648.06,VA, 14429.64, 1111.08
1087,2016-07-23,12972,Spenc,05/05/16,Lacot,01/29/2016,RAE Affairs,350,3200,,210.0,100.0,,1400,,,,,15203.5,,4991,279.0,,7239.2,,,,,,,,,,840,,,150,,,62.5,DC, 33023.7, 3218.37
1088,2016-07-23,14263,Spenc,05/25/16,McCormack,05/24/2016,Kalijarvi  Chuzi  Newman & Fitch  P.C.,25,1137.5,,210,100,,100,,,,,1592,,439.25,279,,672.5,,,,,,,,,,,,,150,,, 62.5,VA, 4680.25, 333.72
1089,2016-07-23,14890,Spenc,07/20/16,Blake,07/20/2016,Fathom Gallery,32,864,,128,,,80,,,,,686,,128,,,,,,,,,,,,,,,,100,,,,DC, 1986, 198.6
1090,2016-07-24,14637,Spenc,07/06/16,McCormack,06/27/2016,L'Enfant Cafe,120,2640,,120,,,,,,,,420,,,,,,,,,,,,,,,,,,,,,,DC, 3180,
1091,2016-07-28,12900 T1,Spenc,07/19/16,Lacot,07/19/2016,Londregan,4,2420.0,,110.0,,,,,,,,420.0,,,,,,,,,,,,,,,,,,,,,,VA,2950.0,
1092,2016-07-30,14650,Spenc,07/06/16,Blake,06/27/2016,L'Enfant Cafe,110,2420,,110,,,,,,,,420,,,,,,,,,,,,,,,,,,,,,,DC, 2950,
1093,2016-07-30,14957,Spenc,07/26/16,McCormack,07/26/2016,L'Enfant Cafe,1,5937.5,,,,,427.0,,,,,696,,2143.54,,,1308.0,,,,,,,,,,,,,150.0,,,240.0,DC, 696,1426.0
1094,2016-07-30,11288,Spenc,11/16/15,Blake,09/10/2015,Riggen,122,5937.5,,180.0,,,427,,,,,4294,,2143.54,,,1308,,,,,,,,,,,,,150,,, 240,DC, 14260.04, 1426
1095,2016-07-30,14857,Spenc,07/19/16,McCormack,07/18/2016,Marshall,30,1057.5,120.0,180,,,120,,,,,1330,,612.41,,,198,,,,,,,,,,,,,125,,,450.0,VA, 3622.91, 264.17
1096,2016-07-30,12375,Spenc,02/25/16,Blake,12/02/2015,Chang,161,7567,120,450,,,644,,,,,4198,,2964.01,,,3301.5,,,,,,,,,,,,,150,,, 450,MD, 19394.51, 1505.91
1097,2016-07-30,11558,Spenc,11/05/15,Lacot,09/29/2015,Fetzer,121,5144.5,80,720,,,420,,,,,3978,,1296.12,,,855,,,,,,,,,,,,,100,,, 28,VA, 12593.62, 1004.2
1098,2016-07-30,12885,Spenc,03/22/16,Lacot,01/21/2016,Yeh,205,8815,,,,,871.25,,,,,8594,,4598.15,,,3005.35,,,,,,,,,,,,,150,,,52.0,VA, 26033.75, 1940.48
1099,2016-07-31,14688,Spenc,07/07/16,Blake,06/29/2016,Wang,34,1097.75,,120.0,,,122.5,,,,,1694,,536.55,,,1610.45,,,,,,,,,,,,,150,,, 52,VA, 5211.25, 352.49
1100,2016-07-31,14638,Spenc,07/06/16,Blake,06/27/2016,L'Enfant Cafe,120,2640,,120,,,,,,,,420,,,,,,,,,,,,,,,,,,,,,,DC, 3180,
1101,2016-08-04,15012,Spenc,08/02/16,McCormack,08/02/2016,L'Enfant Cafe,1,,,,,,,,2860.0,,,192,,112.0,,,,,,,,,,,,,,,,150.0,,,,DC, 192,363.4
1102,2016-08-06,14226,Spenc,06/06/16,McCormack,05/20/2016,Erin Strider Events,130,5505.0,190.0,1440.0,720.0,,720.0,,2860,,,512,,112,550.0,,4178.25,,,,,,,,,,,,,150,,,,DC, 3634, 363.4
1103,2016-08-06,13709,Spenc,06/20/16,Blake,04/04/2016,Butler Events,110,5505,190,1440,720,,720,,3080,,,4798,30.0,1657.2,550,,4178.25,,,,,,,,,,,,,150,,,450.0,DC, 22988.45, 2298.85
1104,2016-08-06,11998,Spenc,02/01/16,Lacot,10/30/2015,Meza,162,6382.5,144,144,64,,648,,7311.0,747.0,,5189,30,2407.32,,,3759.15,,,,,,,,,,,,,150,,, 450,MD, 18917.97, 1421.38
1105,2016-08-06,11825,Spenc,01/13/16,Blake,10/20/2015,Kelley Cannon Events,249,11059.25,387,,,,498,,7311,747,,8681,,3287.3,,,6930.5,,,,,,,,,,,,,150.0,,, 5277.34,DC, 38901.05, 3890.11
1106,2016-08-06,10889,Spenc,09/30/15,Lacot,07/30/2015,Raziuddin,550,5984.0,54.0,62.0,,325.0,2640,,,,,11618,,6271.5,,,11777.5,,,,,,,,,,,,800.0,150,,, 3810,DC Staff, 32457, 2083.9
1107,2016-08-06,11182,Spenc,11/04/15,Lacot,08/28/2015,Kjeldgaard,133,5984,54,62,536.0,325,520,,,,,5030,,2005.9,75.0,,480,,,,,,,,,,,,800,150,,,,VA, 15410.9, 1145.45
1108,2016-08-06,12725,Spenc,04/15/16,Blake,01/07/2016,Logan Circle Events,80,3330,,130.0,536,,480,,,,,3046,,1514.4,75,,352,,,,,,,,,,,,,150,,,,DC, 9483.4, 948.34
1109,2016-08-07,14639,Spenc,06/27/16,McCormack,06/27/2016,L'Enfant Cafe,130,2860,,130,,,,,,,,420,,534.0,,,,,,,,,,,,,,,,150.0,,,,DC, 3410,288.76
1110,2016-08-09,14577,Spenc,06/28/16,McCormack,06/20/2016,Acumen Solutions Inc.,45,1407.6,,180,,,582.31,,251.0,,,616,,534,,,,,,,,,,,,,,,,150,,,2192.31,DC, 2887.6, 288.76
1111,2016-08-10,13805,Spenc,06/21/16,McCormack,04/13/2016,US Naval Research Laboratory,124,3874,,460,,,582.31,,251,,,2608,,1241.74,,,,,,,,,,,,,,,,150,,, 2192.31,DC, 9167.05,
1112,2016-08-11,13809,Spenc,06/21/16,McCormack,04/13/2016,US Naval Research Laboratory,124,2542,,400,,,589.35,,,,,1785,,614.4,,,,,,,,,,,,,,,500.0,150,,, 1715.07,DC, 6080.75,168.52
1113,2016-08-11,14892,Spenc,07/26/16,McCormack,07/20/2016,Deloitte Consulting,20,740,,120,,,40,,,,,846,,462.6,,,,,,,,,,,,,,,500,150,,, 190,VA, 2858.6, 168.52
1114,2016-08-13,14652,Spenc,06/27/16,Keene,06/27/2016,L'Enfant Cafe,100,2200,,100,,,492.0,,,,,420,,1700.78,,,1482.0,,,,,,,,,,,,,135.58,,,2189.57,DC, 2720,1225.66
1115,2016-08-13,11444,Spenc,10/20/15,Blake,09/21/2015,Weih,123,4116.6,184.0,368.0,,187.5,492,,,,,4329.6,,1700.78,,,1482,,,,,,,,,,,,,135.58,,, 2189.57,DC, 12256.56, 1225.66
1116,2016-08-13,14110,Spenc,05/17/16,Blake,05/11/2016,Cunningham,92,3366.25,184,368,,187.5,368,,,,,4470,,1708.44,,,880,,,,,,,,,,,,,150,,,,DC, 11682.19, 1168.22
1117,2016-08-14,14640,Spenc,06/27/16,Keene,06/27/2016,L'Enfant Cafe,106,2332,,106,,,97.5,,,,,420,,752.0,180.0,,,,,,,,,,,,,374.3,,150.0,,,,DC, 2858,306.48
1118,2016-08-16,14426,Spenc,06/27/16,Blake,06/08/2016,Cogent Communications,65,1950,,1200.0,,,97.5,,4096.11,,,763.5,,752,180,,4273.0,,,,,,,,,,,374.3,,150,,,750.0,VA, 4267.3, 306.48
1119,2016-08-16,13475,Spenc,04/04/16,McCormack,03/11/2016,LanYap Networks,200,7100,,1200,,,800,,4096.11,,,5868,,2514,,,4273,,,,,,,,,,,,,150,,, 750,VA, 26001.11, 2078.91
1120,2016-08-17,14955,Spenc,07/26/16,Blake,07/26/2016,Nissan USA,45,1777.5,,270,,,225,,,,,1218,,565.65,,,1292,,,,,,,,,,,,,150,,,,VA, 5498.15, 411.79
1121,2016-08-17,15146,Spenc,08/15/16,Blake,08/15/2016,Meridian House,65,1425,,,,,,,,,,280,,,,,,,,,,,,,,,,,,45,,,,DC, 1750,
1122,2016-08-18,15174,Spenc,08/16/16,McCormack,08/16/2016,L'Enfant Cafe,1,2574.0,,117.0,,,,,,,,160,,,,,,,,,,,,,,,,,,,,,,DC, 160,
1123,2016-08-20,14653,Spenc,06/27/16,McCormack,06/27/2016,L'Enfant Cafe,117,2574,,117,,,365.0,,,,,420,,990.61,,,1254.0,,,,,,,,,,,,300.0,150.0,,,,DC, 3111,586.97
1124,2016-08-20,13186,Spenc,03/21/16,Lacot,02/16/2016,Kenney,73,2960.88,,27.0,,,365,,20.0,,,1995,,990.61,,,1254,,,,,,,,,,,,300,150,,,,VA, 8015.49, 586.97
1125,2016-08-20,12900,Spenc,02/12/16,Lacot,01/25/2016,Londregan,1,568,202.5,27,,325.0,8,,20,,,424,,72.69,,,2980.0,,,,,,,,,,,,401.56,150.0,,,,VA, 1521.25, 92.1
1126,2016-08-20,11676,Spenc,10/13/15,Blake,10/07/2015,Jensen,130,6822,202.5,125.0,,325,520,,,,,4364,,2321.8,,,2980,,,,,,,,,,,,,150,,,,VA, 17685.3, 1366.9
1127,2016-08-21,14641,Spenc,06/27/16,McCormack,06/27/2016,L'Enfant Cafe,125,2750,,125,,130.0,520.0,,,,,420,,1918.8,,,3102.0,,,,,,,,,,,,900.0,150.0,,,280.0,DC, 3295,1197.61
1128,2016-08-21,11996,Spenc,01/09/16,Blake,10/30/2015,Davis,130,5166,,80.0,,130,520,,220.0,,,5246,,1918.8,,,3102,,,,,,,,,,,,900,150,,, 280,MD, 17132.8, 1197.61
1129,2016-08-21,14566,Spenc,08/10/16,Blake,06/17/2016,American Horticultural Society at River Farm,10,265,,80,,,550.0,,220,,,822,,960.0,300.0,,708.0,,,,,,,,,,,,200,150.0,,, 525.8,VA, 1587, 105.82
1130,2016-08-24,14830,Spenc,08/02/16,McCormack,07/14/2016,Intelsat,200,4400,,1000,,,550,,696,,,3694,,960,300,,708,,,,,,,,,,,,,150,,,,VA, 12458, 1004.32
1131,2016-08-25,15015,Spenc,08/11/16,Lacot,08/02/2016,Partnership for a Secure America,114,3063,,684,,,399,,,,,2926,,1543,,,,,,,,,,,,,,,,100,,,954.26,DC, 8715,731.51
1132,2016-08-26,13938,Spenc,05/18/16,Blake,04/25/2016,Smith,100,3425,,109.0,,,500,,,,,3756,,1894.14,,,,,,,,,,,,,,,,150,,, 954.26,VA, 9725.14, 731.51
1133,2016-08-27,14654,Spenc,06/27/16,McCormack,06/27/2016,L'Enfant Cafe,109,2398,54.0,109,,80.0,436.0,,,,,420,,2379.0,380.0,,1632.5,,,,,,,,,,,,300.0,100.0,,,,DC, 2927,1099.97
1134,2016-08-27,13831,Spenc,06/01/16,Lacot,04/15/2016,Epstein,109,4046,54,654,,80,436,,,,,5158,,2379,380,,1632.5,,,,,,,,,,,,300,100,,,617.2,VA, 15219.5, 1099.97
1135,2016-08-27,11274,Spenc,10/19/15,Lacot,09/08/2015,Gyulamirian,185,6798.75,80,80.0,,,925,,,,,6340,,2468.8,,,3089.5,,,,,,,,,,,,1300,150,,, 617.2,VA, 21152.05, 1494.28
1136,2016-08-28,14663,Spenc,06/27/16,McCormack,06/27/2016,L'Enfant Cafe,80,1760,,80,,,,,,,,420,,332.6,,,,,,,,,,,,,,,,95.0,,,,DC, 2260,101.92
1137,2016-08-29,14968,Spenc,08/04/16,McCormack,07/27/2016,FTI Technology,30,450,54.0,96.0,,,900.0,,,,,616,,332.6,,,,,,,,,,,,,,,,95,,,,VA, 1493.6, 101.92
1138,2016-09-03,12800,Spenc,04/18/16,Lacot,01/13/2016,Davis,150,5047.5,54,96,,,900,,,,,6138,,3054,10.0,,2153.0,,,,,,,,,,,,,150,,,337.5,DC, 15439.5, 1543.95
1139,2016-09-04,14313,Spenc,06/15/16,Lacot,05/31/2016,Thomas,71,2302,48,130.0,,,300,,,,,2590,,1247.47,10,,2153,,,,,,,,,,,,,125,,, 337.5,MD, 8775.47, 625.03
1140,2016-09-04,15293,Spenc,08/29/16,Keene,08/25/2016,L'Enfant Cafe,130,2860,,130,,,245.45,,,,,420,,1062.0,,,448.0,,,,,,,,,,,,,275.0,,,454.55,DC, 3410,547.55
1141,2016-09-04,14565,Spenc,07/08/16,McCormack,06/17/2016,Hallinan,100,1600,48.0,786.0,,64.0,245.45,,,,,1845,,1062,24.0,,448,,,,,,,,,,,,,275,,, 454.55,DC, 5475.45, 547.55
1142,2016-09-04,13398,Spenc,05/12/16,Lacot,03/07/2016,The Event Group International (TEGI),127,5040.75,48,786,,64,900,,2640.0,360.0,,6498,,2529,24,,3158.5,,,,,,,,,,,,,150,,,240.0,VA, 19198.25, 1416.45
1143,2016-09-04,12224,Spenc,04/05/16,Lacot,11/16/2015,Pak,120,4427.25,72,144,,300,480,,2640,360,,4582,,2414.4,,,1292.5,,,,,,,,,,,,,150,,, 240,DC, 16862.15, 1686.22
1144,2016-09-04,12761,Spenc,02/25/16,Blake,01/08/2016,Chhabra,450,550.0,,,,450,1500,,,,,9573.5,,6979.6,,,6371,,,,,,,,,,,,,225,,,100.0,DC, 25099.1, 2509.91
1145,2016-09-07,14972,Spenc,08/17/16,Blake,07/27/2016,Smithsonian Institution - National Postal Museum,25,550,,,,,87.5,,,,,9571.0,,,,,10221.5,,,,,,,,,,,,,50,,, 100,DC, 687.5,1247.15
1146,2016-09-10,13278,Spenc,04/16/16,Lacot,02/24/2016,Arora,275,670,,,,,1430,,,,,9571,,1261.4,,,10221.5,,,,,,,,,,,,,150,,,1294.27,DC Staff, 22042.5, 1247.15
1147,2016-09-10,10916,Spenc,09/21/15,Blake,08/03/2015,Dawson,109,4315.25,84.0,372.0,,,490.5,64.0,,,,3832.2,,1261.4,,100.0,2469,,,,,,,,,,,,,100,,, 1294.27,VA, 12468.35, 934.33
1148,2016-09-10,14793,Spenc,07/28/16,Lacot,07/11/2016,Xiong,60,2898.5,84,372,,,251.25,64,,,,3396,,1462.61,,100,2123.95,,,,,,,,,,,,,150,,,,DC, 10902.31, 1090.24
1149,2016-09-10,10810,Spenc,11/19/15,Blake,07/23/2015,Fink,94,3245,,702.0,,,470,,,,,4574,,1334.8,,,1181.5,,,,,,,,,,,,,150,,,275.0,DC, 10955.3, 1095.53
1150,2016-09-10,11059,Spenc,09/30/15,Salazar,08/18/2015,Kessides,117,4763.5,,702,,,585,,,,,4842,,1922.31,,,1137,,,,,,,,,,,,237.44,75,,, 275,MD, 14026.81, 1079.13
1151,2016-09-10,14525,Spenc,07/15/16,Blake,06/14/2016,Van Kalinock,60,1860,,130.0,,,240,,,,,1502,,939.2,,,568.75,,,,,,,,,,,,237.44,150,,,,VA, 5497.39, 390.6
